@relation tweets

@attribute Document string
@attribute Slang {yes,no}

@data
'@JaiBrooks1 see my follow button? you should tap that shit. x101',no
'@MalcDiddy: These guys is crazy brah I\'m all set �?',no
'Gone say ain\'t nobody meant for him 😂✊ , Fool shit ass nigga ✋ , You never have A Gf in you end the relationship Over DUMB SHIT 😂',no
'Man I ain\'t never fuck with them Osiris shoes playa them hoes were ugly',no
'It\'s a little windy',no
'@LustyFoxAlice uhhh? Did I do something?',no
'Haven\'t really study for finals at all this week #maytheoddsbeeverinyourfavor',no
'@JailedDean // Now we have 13 DeanXAngel pics :3 http://t.co/PZ7jo8hRv3',no
'Ghanaians would be singing we got 99 problems but Jonathan ain\'t one 😜😛',no
'@meow_itskaty oh my god that\'s in a music video for a song😂😂😂',no
'No year has been good or bad year. Every year is worse than the earlier one.',no
'i just like tho creat songs',no
'I don\'t know anyone who can possibly be this unlucky! #nicestart',no
'@Jocaugust @anthonyguzman68 @DeroTrill ant you get any hugs this year yet?',no
'I fucking love boats 🚢🚣🚤',no
'Not in the mood',no
'Some of the photos and scenes  for gay event poster and video w 10 others.\'Lworld tokyo http://t.co/NsywThEZEF',no
'@NoahSierota Mary.',no
'I personally want to apologize to &amp; congratulate the new zetas. What happened yesterday was not how that was supposed to go at ALL.',no
'no one has tweeted that shit yet wut.',no
'I want this more than anything! More than I want to breathe!!! �?💖 @bumpshow @ArianaGrande #BumpShowArianaFanTweet 86 http://t.co/xMu4elmwEj',no
'AHHH DeRozan w da 3',no
'Don\'t forget to send your pictures from the trip to chorusslideshow2014@yahoo.com and seniors send baby pics!!',no
'#OOTD #OneSundateAfternoon #QuickShot #UnderTheEscalator http://t.co/dv7hDtMDWx',no
'Chance for Real to win La Liga ! #HalaMadrid',no
'Reply to @GODSMoReZ',no
'ALL MY LIFE IVE BEEN GOOD BUT NOW WOAAAAAAH WHAT RHE HELL',no
'Omg almost got in a car crash',yes
'Blud whats with all these movie sites shutting down man fs',no
'I would totally get stoned with @MileyCyrus for my first and only time.',no
'@cfuckingswag all black would be mad can\'t lie don\'t rate the pink tho',no
'@XHelloGorgeousX you must not want em to see tweets that was sneak dissin em',no
'Mechanical Technician - http://t.co/2cP9IS2KeG - Details: Job Classification: Contract Job Title: Rail Car TechnicianJob Location: New ...',no
'I\'ve always wanted to do something like this. Or maybe like the music video from Kesha. When they have… http://t.co/cu9DB67xUi',no
'@diggy_simmons im ready to for #DiggysGirl been on edge since uve announced it �?��? you',no
'5sos and 1D are both completely different musical styles and career wise they\'re both at different stages so comparing them makes no sense',no
'4 people followed me and 2 people unfollowed me // automatically checked by http://t.co/MoS4ViXRpB',no
'sorry the world doesn\'t revolve around you hunny 😊',no
'I had a good ass weekend😛',no
'83.140.241.132 a tweet in time saves nine 2014-05-04 21:00:45',no
'Snapchat is getting way too fancy and I\'m not sure how I feel about it',no
'K RT @Marqueaaaa_x: “@KingJayla_: New number. New location�?DM it to me.�?',no
'@chelseypaige42 girl what 😫😫😂 lol killing my ass.',yes
'Cinco de mayo is never a celebration.',no
'WE NEEDED THAT',no
'@3MRacing  Got my biffle 3m hat on my biffle tumbler and drink race view on loving life go biff',no
'@JLo Got my bestfriend addicted to #FirstLove too 💕 I know how to pick my friends ;) http://t.co/XmEcbfqL6j',no
'@justinbieber @LEllerbe Justin Follow me pls pls pls pls pls pls pls. I LOVE YOU VERY MUCH MY BEST IDOL I LOVE U ✨ x14',no
'@YvonneOkwara Usalama Watch has been changed to refugees repatriation after the Gov\'t failed to arrest any terrorist. So sad! @KTNKenya',no
'Medical Doctor Shot And Injured | RJR News - Jamaican News Online http://t.co/KSyBaaEQng',no
'@grimoldmare we certainly did :) how was your day?',no
'@tbharianax idk :(',no
'I want it all.',no
'my five year old sisters keep calling each other turds i cant stop laughing oh my god',no
'@JoshDevineDrums love your icon but harry 😂',no
'I posted a new photo to Facebook http://t.co/ujhRtYM1Vk',no
'some people on Facebook need to reevaluate where their posts go. some don\'t need to go on Facebook and you can just tweet them.#tooemotional',no
'i would hate to be a fed',no
'louis is the founder of 5sos sooo shut up',no
'|• IM GOING TO FLIP TABLES',no
'How to collect customer information in Facebook #eateriatutorial http://t.co/G2SwYm3j1s',no
'@_landobruhh: What\'s a relationship without trust?👌',no
'The selly oak ice cream van has the creepiest chime �?',no
'We are sure that the current patriotic uplift in Crimea will spill over into the whole Russian Federation -... http://t.co/9C3v0kppwf',no
'Jada must not know my NAME ,🙅🙅✊✊',no
'Well I guess @Talk2Windstream  showed me. Looks like I\'m stuck with 3mbs.',no
'@jackwalsh03: @DatHEEL @AbbieJones63 it isn\'t me mate. It\'s @ImWithLesnar he admitted it. http://t.co/hyByQSUrq6',no
'Can\'t you say a single nice thing',no
'And Spanish people think they\'re the best. Their economy is atrocious, with Greek surely theyre the country in most financial trouble in EU',no
'Audio: did i just find.. did I just? OH MY GOD.   zayn’s high notes still get me more audios here -... http://t.co/rwuFsN7oHu',no
'@chasegoehring I want to be your tear drop, so I could be born in your eyes, live on your cheeks, and die on your lips.',no
'Lovebirds Maria Sharapova and Grigor Dimitrov get cosy at a party http://t.co/VnmbxO1IcR',no
'Why can\'t you just tell me what you feel, because how you act is confusing me.',no
'Nice shot',no
'The Solitary Man\'s Refuge by Ron Foster http://t.co/4F6fEemvEo via @amazon #preppers #prepper',no
'What is going on',no
'I fucked up but so did you',no
'@Allly_xo lol ok',yes
'I liked a @YouTube video http://t.co/ftoAjDwtbx Shot on rust? Lol',yes
'@hormoyhemmy wherever u say,lol',yes
'@crazy_5sos_mofo lol kk lemme go get him',yes
'@JailenieBeanie I always do my hair black Jailene lol. It\'s just fading',yes
'stop lol hes mine',yes
'@ActuallySam @SamKingteen nah that shit is just for lames lol',yes
'@BigGucciGezus lol I fucks with their music👌',yes
'2 of them just disappear easy easy lol.',yes
'@cricketmetal lol that\'s def a lot!!!!',yes
'They showing Drake after every play like he\'s the coach lol',yes
'LOL @ you 😂�?',yes
'Lol drake need to sit his ass down somewhere',yes
'My phone stay dry lol.😒😬',yes
'Thinking about a paper and her lol',yes
'“@littlemummy35: @HandyHelen why is it us with kids gardens and pets are obsessed with poo??!!!�? ITS WHAT DOMINATES!! Lol #gardenchat',yes
'@juhnean_ I flipped you off?😱 lol',yes
'@beccasmith95 Angry much? Lol',yes
'if i cut this 1 mf off my feelings gone be hurt lowkey lol',yes
'Twitter wasn\'t working rn an I panicked lol what a weirdo',yes
'Text me back before I be mad.. Yeh Yeh — I did lol http://t.co/P0MA7PD2Bb',yes
'@Theotherforce95 now what lol',yes
'LOL THAT RT IS SO ME',yes
'@kaeepet run in your pantis Lol jk why not put bathroom towels as your pants!?',yes
'@Sean_DSR you ain\'t know Lil B made the warriors D- league squad ? Lol',yes
'Liquorice strings...dangerous lol #BBQantics @RyanLincolnLB @roaring_boy @sreynolds_ @AnnaBanks224 http://t.co/02zNcXs3WK',yes
'@tianna_hairston lol that\'s even worse oops😳',yes
'I miss it already lol, but dude I can\'t anymore.',yes
'About to walk 6.3 miles to my girlfriends house lol',yes
'@KylaAolani so they should @ you if they wanna talk to you? Lol',yes
'#26mgmt #26mgmt #26mgmt @26MgmtTeam lol',yes
'@Kop_Talking lol,comment was directed towards him :P',yes
'@reedobrown @BarackObarber yall stupid lol',yes
'But you\'re mine right?lol@patoranky: FlushyBuzzz not all ur twitter ffwers &amp; facebook friends are your real admirers. Take note',yes
'@BALLETANDLYRICS it was just this one time lol',yes
'lol @ the clippers staff member that decided to start shit with speights and curry',yes
'Lol “@ILove_KIARA: Bae just retweeted me �?�? @diggy_simmons , love you 😘. 2 days til #mygirl comes out�?',yes
'@tht_africandude yeah you\'re right, y\'all still losing though lol',yes
'@_oliviaamarie don\'t doubt my ability to find u a bae oli �?....lol',yes
'I was about to say he wanna be lillard so bad ..never finished my sentence lol',yes
'@DockseyAshleigh Lol you\'ll get used to it ☺�? Xx',yes
'@_Stephenc9: “@CCluutchh: If you ain\'t gettin money then you ain\'t got nothing fa me�? word? Stephen leave me alone u fake lol',yes
'@Bostonianadrift I bet you do. I love her so much, she constantly makes me laugh....or scream...sometimes lol. Your dogs all look sweet too',yes
'@4FoTMitch they did tho lol',yes
'@amaniaraye_ @rachelleeee__ lol you smell a hater Rachelle ?',yes
'Yall hungry?? I\'ll pay....maybe.  lol',yes
'Drake at the raptor game Lol 😂😂',yes
'lol no one honestly cares if I\'m depressed I do not matter haha',yes
'@TaraiaTaughtYou but never make it happen 😩 lol',yes
'Lol getting out of joco.. More like getting out of country.. TWICE this summer 😎',yes
'@The_Truth_Giver I miss you too! And that is so true lol',yes
'my tl is filled with either tweets about the game or people getting cheesed over the tweets about the game LOL jeez',yes
'Get yo money lol http://t.co/uvqY9kCP9S',yes
'Lol can\'t fuck with that ✂�?',yes
'@LILTIA17W @ZAYNSIDEHOE @drowsyIuke it was cheaper and 1d gave them the promo 1d never had lol',yes
'@BP3 lol this is great',yes
'why is everyone coming to visit us all of a sudden?:\'o lol',yes
'LOL LEAVE IT TO STEFF TO MAKE ME FEEL BETTER.',yes
'@gunsmokekayluh the lies you tell. Girl you know you Be dubbing everybody lol',yes
'@mikep21211 shut upppp lol',yes
'My man recs this is a better pic ! Ummmm ??? Not sure lol 😜💋 http://t.co/7H0fV311jS',yes
'@UKRyan lol because u wanted add me :p',yes
'i think i know why i hate younger girl ( this goes for you to Ruth ) i found the reason why lol',yes
'If you\'ve only seen my rude side it should reflect on how you act towards me lol',yes
'@_FineAssMari @_JazmineMarie Lol what time you going?',yes
'@KeithLHHockey @jdudejc @incarceratedbob @tazman19 @NYIslesNation LOL that\'s what you come up with? Attacking my school on a trivial rank?',yes
'@austin_r24 lol I still have to pack it up',yes
'Drake ol groupie ass lol',yes
'@silversence I was so confused lol I was like why is she running around the entire set lmao',yes
'DRAKE WAS SO AMPED LOL',yes
'LOL drake',yes
'Why am I watching sharkboy and lavagirl lol',yes
'@anselsinfinity I know I\'ve definitely lost count lol',yes
'@FerchoCortes1  @JasonEmilio14  how the fuck ya fall with no one around lol eat shit niggas',yes
'Haha Lol you guys miss me ern? @jerniee @changeforgud',yes
'@_Lovee_Judyy lol , I think that was why',yes
'@xoxotinaaa: At Olive Garden ☺�?  Dang NO invite lol.',yes
'@MorganBadAzzz: @_LittleMomma lol when he come back by you tell him I said hiiii *Ms.Pearly voice* 😂😂😂 W28ST B Yu Not Fuccn wit us',yes
'I need to make a new twitter lol',yes
'They should reopen the 181 movie theater lol',yes
'@AlmightyJay____ I come home Thursday night Friday we can get on that lol',yes
'@stevewhitesnake @anna_j_b @whitesnake2014 For a second I was a bit Leary of what the back said... Lol',yes
'@Bsleezy97 rofl u gotta read this, its funny http://t.co/pBwPWmlGQg',yes
'@nielterblanche rofl this was done by you? http://t.co/gB8ZiCXNcr',yes
'@FYFeeling rofl you gotta see this, its funny http://t.co/6Is3bkfIGX',yes
'@Zainaaab123 rofl you got 2 read this, its funny http://t.co/DmIIOMcFT4',yes
'@Your_Wish__ rofl you gotta see this, its funny http://t.co/lc8co4g5b0',yes
'@genna_tam rofl this was written by you? http://t.co/USASQyNOSu',yes
'@ma___0619 rofl this was written by you? http://t.co/pGRJmdQjgv',yes
'@garryson95 rofl I had a weird feeling this is u http://t.co/AmoCCXRBsh',yes
'@MeganWahlstrom rofl this was made by you? http://t.co/tYvwrjfxcQ',yes
'@moriyasanfire rofl you gotta see this, its funny http://t.co/eWnuR8k8zp',yes
'@thakidd_brandon rofl u got to see this, its awesome http://t.co/kgufvAfYbe',yes
'@h3art__kik_ rofl this was done by you? http://t.co/TmQfvN4yNo',yes
'@Ongerajosiah rofl you gotta read this, its epic http://t.co/TLF6hqshvs',yes
'@bleas10 rofl this was posted by you? http://t.co/AIXTJ2QdHH',yes
'@PKhomotso rofl I had a eerie feeling this was yours http://t.co/rdueEjxWEp',yes
'@nansy2540 rofl this was done by you? http://t.co/wvgyYRemOW',yes
'@AshleyIrwin15 rofl u got to read this, its awesome http://t.co/eA9O9lkfFS',yes
'@skylerchapman76 rofl I had a strange feeling this was you http://t.co/W7xPMtw9ET',yes
'@Flattop_Todd was gettin it in with jade. I had a proud moment �?',no
'@seemagoswami i have seen villages. Drinking rampant, sleeping with neighbors wife rampant, stealing rampant. They also vote! ROFL @cvoter',yes
'Sacramento takes an early 2-0 lead on a HR to left. Heading into the bottom of the 1st with CF Rico Noel leading it off for the #Chihuahuas.',no
'#HappyStarWarsDay with Star Wars Ep II - Attack of the Clones on @itv2 http://t.co/2sB1sg8vCs',no
'looking for someone to speak with (kc area) 18yr http://t.co/x3hB2ImUi5',no
'May the fourth be with you all twitter !!!',no
'Living the high life after a win with The Need to Know Bases http://t.co/CbIPwrvLKO',no
'McGowan with the hat trick.. He\'s struck out all three times #PitcherOnlyLife',no
'I liked a @YouTube video from @ponylionhd http://t.co/rLSAwyV117 May the C4 be With You',no
'It\'s all about match ups. The Spurs don\'t match up well with the Rockets. Portland matched up great against Houston.',no
'@RadioKatie1 I can\'t believe the place isn\'t PACKED with fans cheering them on. Craziness. I\'d leave too.',no
'I gained +25000 real followers with this site.  GO ► http://t.co/VxOPHnw01D',no
'Justin\'s tweets are lately so serious and he doesn\'t interact with us anymore like he used to do. The same with Alfredo. I just',no
'@BasedChasen I want the raptors to win it but they showing their inexperience with all these dumbass shots when they have momentum',no
'@zaynmalik The most beautiful part of the day is night. Night where my thoughts are filled with you. Filled us. ILYSM follow me? x64670',no
'Laura and I with Tony the Tiger!! #waddup http://t.co/HcbyYkxnlg',no
'@The_ScreamMaker: Quote This With A Selfie If Your Feeling Yourself today Ladies ! 😙 http://t.co/HNYRU1jdWl',no
'With half an arrow in my chest, I\'m half a hearth without you',no
'I\'m mixed with a couple things.. bought like a couple rings👀',no
'Laid inside on my own with a hot chocolate',no
'Im just done with girls',no
'Omg my mom is going to the Bey &amp; Jay z concert with out me.',yes
'Mj with his new northface. ',no
'#GetGreat http://t.co/52TR3FgOmH',?
'I just checked in at Target with #mPLACES',no
'The Best way to gain new followers ►►  http://t.co/BjrP2k9eNX I gained +5000 followers with this site.',no
'can\'t believe maDdy posted a picture of me with drugs',no
'Waking up with him :3 Pijamas ♥ TeAmoCoso http://t.co/QTk5XBPb7E',no
'“@StealHisHeart: Life is too short to stress yourself with people who don’t even deserve to be an issue in your life.�?@kkfaith20',no
'Kevin came through drive thru yesterday told me we don\'t fuck with them nomore. Then I said nah my girls be home he said ok see ya soon 😎',no
'Line Up @ The Jay Fonseca Release Party May 31ste @sirwinstonclub with @JayFonsy  http://t.co/Xw17pZ4HKa Get Tickets! http://t.co/4EC6q5PJTn',no
'I want bed sheets with clouds on them',no
'Bowling with bae heatherdetherage http://t.co/wiuuizfDNj',no
'Rolling out P2 with the MPZ #20 for tonight\'s 100 lap MRS race. Hope we can bring home a good finish....',no
'I regret booking through @AmericanAir ',no
'Web Services team is not helpful at all',no
'friday was fun man.. Lence cant mess with me though with the whip skils on everything ✊ @Lenceeeee',no
'How I felt when I made it to work with the gas light on http://t.co/QxuHJpbkeM',no
'Bare with me.',no
'I cannot even with my last RT...so true gawddd. 😒',no
'The Best way to gain new followers ►►  http://t.co/8QNJQypud7 I gained +5000 followers with this site.',no
'Wait so is Timberlake gonna perform with Beyonce at the Super Bowl now cause I wanna see her boob.',no
'At FC Dallas vs rbny with my girl!',no
'@IamAmirJohnson fouled out with a DD good hustle! You put your heart in it. See it as a blessing in disguise now we\'ve got to play for you!',no
'might go fuck with nisha at work',no
'@LakersNation stop with the never ending rumor bait!',no
'fell off with a lot of people... i guess it was for the best..',no
'I hate driving with shoes , so I drive with socks on.. is that just me?',no
'May the Fourth be with you! #statwarsday #starwars #darthvader #starwarsweekend http://t.co/F4ZQ0cQmrr',no
'@JackJackJohnson I think it has a lot to do with jealousy',no
'@joeyskawaii just the normal conversation with @tribalawley http://t.co/XSlzl1kYk8',no
'@_Tre_Savage: Dgaf, I a blam mf .with no hesitation',no
'One on ones with a CFL DB teaches you a lot.',no
'I feel like laying under a big tree with a very berry hibiscus',no
'Love Fluttershy. I can live with that.',no
'#brony http://t.co/OBCATSDWGF',?
'@PrivateEyeNews small, family run business keeps it in the family - VC\'s son parachuted into £45000 job with no interview (!) - WOW!!',no
'Last week today with John Oliver, http://t.co/YNb57FeLUs',no
'I\'m happy with the way I am! Corny asf 😘😘😘',no
'100\% done with this outline for history',no
'Anybody wanna help me with math? :(',no
'#FamosiitoPoow Towers unsure of future with struggling D-backs: Embattled general manager Kevin... http://t.co/1xc1StiEJy #FamosiitoPoow',no
'The things I\'d do to be with the lads on bank holiday weekend in manny t',no
'I just checked in at Walmart Supercenter with #mPLACES',no
'The Price of Civilization--Jeffrey Sachs and Zizek with Jeanne Zaino (Fox news commentator), Dr. Keith Campbel... http://t.co/wQL2Ef1yD9',no
'Love doing this with the covers x http://t.co/60r35d8Mvd',no
'More than one year later - Family is reunited with their #lostdog from Superstorm Sandy.  http://t.co/A7anATodPt',no
'So I partnered up with a business. Sandy is on his co-owner shit. 💪',no
'Watching Enemies Closer (with Rizky at Sandy\'s Homey) — https://t.co/odLSioI31A',no
Treasure💛.,no
'NJ has distributed less than 25 percent of Sandy aid http://t.co/yzjBwJbDMc',no
'FUCK SANDY',no
'@simse321 @justwilliam007 @josepha_24 @PicOpia @sandy_moral @Lovehotbabs @SexyGirls_Pics looks like @meganfox',no
'Richly Appointed Riverwood Residence: The beautifully landscaped home at 325 Ledgemont Court in the Sandy Spri... http://t.co/rxwSOEsGkD',no
'Richly Appointed Riverwood Residence: The beautifully landscaped home at 325 Ledgemont Court in the Sandy Spri... http://t.co/WfNDXX9pSO',no
'The kind of thing you find in Sandy Hill. http://t.co/v2TSYo4HCK',no
'@Sassi_Sandy Hey good afternoon ma how you doing',no
'Hey sandy ;) @stephgarrett02',no
'@reshma1begum @AstonMerrygold okay thanks',no
'@vere78 @Sassi_Sandy @slackslick Good afternoon y\'all what\'s up?',no
'@sandybeales Mucho bueno Sandy hahahah, love you 💕💕😂😂😂',no
'Remember Sandy Hook &amp; the Senate Republican\'t\'s refusal to allow a vote on gun control legislation supported by the … http://t.co/DItCiMqavS',no
'@oreo_obsessed_ thank you babe x',no
'“@tumbIrpost: WHY ISN\'T THIS A THING YET http://t.co/OGYLqDl1m1�? @sydneyowow',no
'- Sandy: You\'re nuttin\' but pure evil, just like the newspaper comics!',no
'@Gdad1 Our nation is surviving on a ponzi scheme. What is it that you like about PBO? What are his honest truths? His true experience?',no
'@BradyBunch1994 @DakotaFarmer15 I have tomorrow off! If you can\'t I\'ll come out to sandy or wherever!',no
'i can\'t deal with iggy azalea\'s butt like i do not know what to do',no
'@zaynmalik vas happenin?! Are u ok? Do u want me to call the police? I love u! 😭😭😭😰',no
'@JRC820 hamming it up with Erica and Sandy!  #readyformission #inpiredbypets http://t.co/plGuRhS5eh',no
'Chin held high gut sucked in chest stuck out',no
'Teman derby hari ini #soursally [pic] — https://t.co/OB5kZTteYy',no
'@Sandy_Sefein @astonmerrygold I retweeted it',no
'NJ has distributed less than 25 percent of Sandy aid http://t.co/i8gVTGvRbZ #christie #strongerthanthestorm',no
'#100HappyDays #Day77 beautifully perfect day on the boat, &amp; anchoring up at the sandy shores of Swanage�?⚓�?🚤💕 http://t.co/u4xzdivnfO',no
'Manchester tonight baby 😘 @BijouClub here we come 🎉🎉🎉�?�',no
'@Gdad1 IDK if it\'s more of a waste than the rest of things he\'s done or not done. O\'care is going to bankrupt our nation-if we aren\'t alrdy',no
'@reshma1begum @AstonMerrygold do u have a video of him performing?xx',no
'With Rivera Rizka, Sandy , and 2 others at rj\'s house of art [vid] — https://t.co/vAeCSr63AG',no
'@zaynmalik you\'re fucking perfect!!!!! Canelaaa pasionnn!!! :3',no
'@sandy_819 I know!!! Don\'t remind me. I\'ve got to pay the bills tho!',no
'@Gdad1 I think had they said terrorist activity from the start, admitted his involvement in Syria/Libya. Leaving them to fight alone? Dead?',no
'Big love to Sandy &amp; Gavin Mardon! Superstars! ♥',no
'@donnabbrothers safe travels to Pimlico &amp; Belmont...I\'ll try to say hey at Big Sandy, but will be crazy day if California Chrome wins Preak',no
'The federal government is preparing for gas supply disruption caused by #naturaldisasters http://t.co/IDC4OXX3pm',no
'Amazing time with my bff sandy_loly_ &lt;3 :) &lt;3 http://t.co/13rAyBR46Y',yes
'Confession intime ✌�?',no
'@_Kizzzy ur so sweet thank you :* IF SANDY AGREES TO GO ON A DATE WITH ME THAN ILL SEND THA SCRIPT AYYYY',no
'@Henry_Coxton @Jiggythetim even comparing the great Sandy Jardine to that is disgusting what do they teach u lot in ur separist schools',no
'Does anyone have a video of Ast performing today????????💙💙💙💙',no
'@GuitarmanDan its sandy thats bad at tennis right??',no
'I\'m at Mohegan Sun (1 Mohegan Sun Blvd, at Sandy Desert Rd., Uncasville) http://t.co/OaE8LcUzqb',no
'@choiseungcheolz yep, this was recorded on the chirstmas episode day, according to their hair D:',no
'when i was in 1st grade this chick i didnt know gave me a bratz doll for chirstmas and idk bout you but i think that was my original fan.',no
'New on #Zazzle: Happy Holidays Red and White Chirstmas Mug http://t.co/RYBnOTZ6ba',no
#SmallzyCallMe,no
'Happy chirstmas',?
'MARRY CHIRSTMAS WTH LMAOOOO',yes
'Chirstmas movies in May.. Ight',no
'Minecraft: Christmas Karaoke 2012!: http://t.co/aWZFmD4Gs2 via @YouTube',no
'I know it\'s not Chirstmas Say who is your Fav My is Gizzy14gazzy',?
'@sashadean123 I know what I want for chirstmas',no
'Hmmm, Chirstmas pudding.',no
'it\'s beginning to look a lot like Chirstmas😄🎅🎄 http://t.co/XzhWqxCqbJ',no
'Grando sponsor no Tokyo day oh Chirstmas!',no
'“@PritzyPrincess: #ThighAppreciationDay http://t.co/tIurDV3qDm�? WE WISH YOU A MERRY CHRISTMAS! WE WISH YOU A MERRY CHIRSTMAS!!!',no
'Merry Christmas everyone...oh wait, what do you mean it\'s may? #chirstmas #snow #calgary #yyc #why… http://t.co/a6VlMWskQs',no
'I have a perfectly brand new surfboard that I got for chirstmas at 6, it has been sitting in my room for 12 years has never been used',no
'channelin\' the Ghost of Chirstmas Past in a effort to get sum kruidnoten. http://t.co/wby4Vxb08h',no
'i even bought suspenders hahahah gonna learn chirstmas day\'s dance with it',no
'GTA 5 Glitches Santa Hat &amp; Elf Hat After Patch 1 11 Online Glitch! Chirstmas DLC Clothes GTA V: http://t.co/h7OUhMRbNd via @YouTube',no
'it feels like its chirstmas lol',yes
'ALL I WANT FOR CHIRSTMAS IS YOU',no
'@lcyra A6: I got it for Chirstmas! #momhookup',no
'Is a house on your Chirstmas List this year? (UNITED STATES, Mcallen) http://t.co/rFF7PMizFl',no
'@The_air_jorDAN3 fuck yeah',no
'#NOW PLAYING Christmas Drop with Lawana &amp; Kennedi - Chirstmas Drop with Lawana &amp; Kennedi #BBG NETWORK',no
'#NOW PLAYING Lawana and Kennedi - Chirstmas Drop with Lawana &amp; Kennedi #BBG NETWORK',no
'@AllAthletesKnow All athletes know Chirstmas, snow days, &amp; other do NOT interfere with our practice. #Youpeoplewillhave2wait',no
'The christmas song — ah. the first one is \'a trainee\'s common chirstmas\' and the other one is \'an idol\'s common ... http://t.co/Xm2sYkO4jP',no
'its may and im still listening to the chirstmas album',no
'All i want for chirstmas is you',no
'#NOW PLAYING Christmas Drop with Lawana &amp; Kennedi - Chirstmas Drop with Lawana &amp; Kennedi #BBG NETWORK',no
'@QuinnKrop I DID I GOT IT FOR CHIRSTMAS',no
'Running low on chocolate... I need another Valentines/Easter/Halloween/Chirstmas event to happen soon.',no
'@lauren_hunterrr right?! Nah he already got me a kitten for chirstmas so that\'s plenty 🙅',no
'Did a Star Wars quiz where I got every question about the Chirstmas Special write but missed Leia\'s lie about the location of the rebel base',no
'Feeling like its my birthday like chirstmas day came early 💕',no
'Merry Chirstmas @kerryshawcross ! #WaitWhat?',no
'Michael Clifford from 5sos @Michael5SOS How did darth vader know what luke got him for chirstmas? He felt his presents!',no
'pre ordering chirstmas island on CD. I don\'t think it will get to my dorm in time for me to listen to it while driving home from school',no
'Chirstmas day i believe #tbt #ninfffs #toohurt http://t.co/ClPMvVKhpK',no
'@clifcarson aww shit i just remembered i had a wal-mart gift card from chirstmas, wonder if its still good',no
'@LaurenAshton10 find out chirstmas day',no
'CNN Report: Do not Let your Husband see this! - The dune buggy that can fly - http://t.co/AtB6hXjVJo via @YouTube - On my Chirstmas List :)',no
'GTA 5 Glitches Santa Hat &amp; Elf Hat After Patch 1 11 Online Glitch! Chirstmas DLC Clothes GTA V: http://t.co/CQxvSoLnf0 via @YouTube',no
'Alex has so much energy this morning you\'d think it was Chirstmas.',no
'Last chirstmas I gave u my heart.... ♫ Last Christmas by Ariana Grande — https://t.co/Q1NdcFALGm',no
'Previous rt �?�? can someone buy me that dor chirstmas since birthday is over😂',no
'Barbie a perfect chirstmas #nw',no
'The most recent photo I have of us as a family (circa Chirstmas/New Year \'13). Mommy\'s included cuz… http://t.co/Pd0eWcgV6O',no
'if anyone wants to get me something gr8 for chirstmas a nice fat 8th of a top shelf indica',no
'@CarrlynBathe there your bday gift time get revenge when we win it all (hopefully) that my bday Chirstmas present ! ;)',no
'Mom is threatening me by saying if I put one scratch or hole in a wall at the new house then I won\'t have any more bdays or chirstmas...',no
'You messing with the  boy that had  toys before chirstmas',no
'chirstmas is coming up http://t.co/YAXoPUfLuP',no
'@LukevanO I got it for her this Chirstmas, fantastic book. It was your idea when you bought it. thanks!',no
'@livvmangan tbt to when Cassie got you olives for chirstmas😂😂',no
'He funna get a tooth brush for chirstmas and his bday he need two.',no
'I added a video to a @YouTube playlist http://t.co/fVuD3uGfgL SO HARD-SlenderMan Shadow:Claustrophobia&amp;Chirstmas Special(AdrianHG)',no
'I didn\'t know that Chirstmas carols have copy right laws!!',no
'dont come home for chirstmas youre the last thing i wanna see underneath the tree merry christmas i could care less',no
'@clolin_xo like before chirstmas when we went town ahahah',yes
'All I Want for Chirstmas',no
'my cousin\'s ex-husband was my favorite person ever, like at chirstmas he used to give me and my little brother piggy back rides',no
'GTA 5 Glitches Santa Hat &amp; Elf Hat After Patch 1 11 Online Glitch! Chirstmas DLC Clothes GTA V: http://t.co/OWbJ2ZlQJU via @YouTube',no
'Sax girls playing chirstmas songs. Wrong time of year love',no
'#nowplaying Chirstmas Time Is Here Again - Scott Krippayne http://t.co/YVxsA6xG3x',no
'NowPlaying Chirstmas Time Is Here Again - Scott Krippayne',no
'i\'m a huge nightmare before chirstmas fan and i don\'t think i\'m ever any happier than when i\'m watching that movie',no
'Holy CHIRSTMAS NUTS 😱 @BethanyMota just followed me! THANK YOU THANK YOU THANK YOU !! �?�?�?�? Having an OMG MOMENT �?��?�?��?�?��?�?��?i love you GORGEOUS!',yes
'@Ex_Xtian I bet. I actually plan on going on one this Chirstmas\'',no
'It\'s not Christmas Season but I am really addidcted to this old song ♥ #nowplaying EXILE - Yumemiru you na Chirstmas ♥',no
'RT @EcKoxSoldier: Because it\'s like a Monthly Chirstmas! always full of surprises and never fails to impress! #lovelootcrate',no
'@DudeGurlz new album, The Antichrist Cometh, dropping Chirstmas',no
'@danisnotonfire thats ok just oretend that you are santa on chirstmas',no
'Not sure if i ever show you guys this handsome little fella, my parents and aunt made it for chirstmas! :D http://t.co/he4B2I653w',no
'i\'m listening to chirstmas songs what',no
'ITS OUT THE CAST!! http://t.co/mZHvqsbenz #StarWars #StarWarsEpisodeVII omg the wait... next chirstmas!?!?',yes
'@lootcrate Because it\'s like a Monthly Chirstmas! always full of surprises and never fails to impress! #lovelootcrate',no
'The fade was so fresh on chirstmas bruh 😭😭😭 I need a haircut smh http://t.co/5scKUtxuej',no
'when its time to go ima wake up chirstmas tree and leave',no
'Still cant believe derren browns in glasgow on my birthday, asked my parents kindly to get me them for chirstmas and did they? Did they? NAW',no
